id,project_name,hash_commit,github_url,github_raw_url,isComplexClass,isLazyClass,isLargeClass,isSpeculativeGenerality,isRefusedBequest
1,apache/archiva,01350dc3033f12befc2cda37f7941d72dc5fc603,https://github.com/apache/archiva/blob/01350dc3033f12befc2cda37f7941d72dc5fc603/archiva-modules/archiva-base/archiva-configuration/src/main/java/org/apache/archiva/configuration/ConfigurationRuntimeException.java,https://raw.githubusercontent.com/apache/archiva/01350dc3033f12befc2cda37f7941d72dc5fc603/archiva-modules/archiva-base/archiva-configuration/src/main/java/org/apache/archiva/configuration/ConfigurationRuntimeException.java,0,1,0,0,0
2,apache/archiva,01350dc3033f12befc2cda37f7941d72dc5fc603,https://github.com/apache/archiva/blob/01350dc3033f12befc2cda37f7941d72dc5fc603/archiva-modules/archiva-base/archiva-configuration/src/main/java/org/apache/archiva/configuration/IndeterminateConfigurationException.java,https://raw.githubusercontent.com/apache/archiva/01350dc3033f12befc2cda37f7941d72dc5fc603/archiva-modules/archiva-base/archiva-configuration/src/main/java/org/apache/archiva/configuration/IndeterminateConfigurationException.java,0,1,0,0,0
3,apache/archiva,021495050a1047b6d13dad8b7844d389a2ba1e0c,https://github.com/apache/archiva/blob/021495050a1047b6d13dad8b7844d389a2ba1e0c/archiva-modules/archiva-base/archiva-xml-tools/src/main/java/org/apache/archiva/xml/XMLException.java,https://raw.githubusercontent.com/apache/archiva/021495050a1047b6d13dad8b7844d389a2ba1e0c/archiva-modules/archiva-base/archiva-xml-tools/src/main/java/org/apache/archiva/xml/XMLException.java,0,1,0,0,0
4,apache/archiva,021495050a1047b6d13dad8b7844d389a2ba1e0c,https://github.com/apache/archiva/blob/021495050a1047b6d13dad8b7844d389a2ba1e0c/archiva-modules/archiva-base/archiva-xml-tools/src/test/java/org/apache/archiva/xml/LatinEntitiesTest.java,https://raw.githubusercontent.com/apache/archiva/021495050a1047b6d13dad8b7844d389a2ba1e0c/archiva-modules/archiva-base/archiva-xml-tools/src/test/java/org/apache/archiva/xml/LatinEntitiesTest.java,0,1,0,0,0
5,apache/archiva,021495050a1047b6d13dad8b7844d389a2ba1e0c,https://github.com/apache/archiva/blob/021495050a1047b6d13dad8b7844d389a2ba1e0c/archiva-modules/archiva-base/archiva-xml-tools/src/test/java/org/apache/archiva/xml/XMLWriterTest.java,https://raw.githubusercontent.com/apache/archiva/021495050a1047b6d13dad8b7844d389a2ba1e0c/archiva-modules/archiva-base/archiva-xml-tools/src/test/java/org/apache/archiva/xml/XMLWriterTest.java,0,1,0,0,0
6,apache/archiva,0262091faaaed893c6c43d2a7090d5d92cbba4aa,https://github.com/apache/archiva/blob/0262091faaaed893c6c43d2a7090d5d92cbba4aa/archiva-modules/archiva-base/archiva-indexer/src/main/java/org/apache/archiva/indexer/merger/IndexMergerException.java,https://raw.githubusercontent.com/apache/archiva/0262091faaaed893c6c43d2a7090d5d92cbba4aa/archiva-modules/archiva-base/archiva-indexer/src/main/java/org/apache/archiva/indexer/merger/IndexMergerException.java,0,1,0,0,0
7,apache/archiva,02f621dc542a621090bfbcdc38c16870bb830421,https://github.com/apache/archiva/blob/02f621dc542a621090bfbcdc38c16870bb830421/maven-repository-indexer/src/main/java/org/apache/maven/repository/indexing/query/OptionalQuery.java,https://raw.githubusercontent.com/apache/archiva/02f621dc542a621090bfbcdc38c16870bb830421/maven-repository-indexer/src/main/java/org/apache/maven/repository/indexing/query/OptionalQuery.java,0,1,0,0,0
8,apache/archiva,02f621dc542a621090bfbcdc38c16870bb830421,https://github.com/apache/archiva/blob/02f621dc542a621090bfbcdc38c16870bb830421/maven-repository-indexer/src/main/java/org/apache/maven/repository/indexing/query/OrQueryTerm.java,https://raw.githubusercontent.com/apache/archiva/02f621dc542a621090bfbcdc38c16870bb830421/maven-repository-indexer/src/main/java/org/apache/maven/repository/indexing/query/OrQueryTerm.java,0,1,0,0,0
9,apache/archiva,02f621dc542a621090bfbcdc38c16870bb830421,https://github.com/apache/archiva/blob/02f621dc542a621090bfbcdc38c16870bb830421/maven-repository-indexer/src/main/java/org/apache/maven/repository/indexing/query/RequiredQuery.java,https://raw.githubusercontent.com/apache/archiva/02f621dc542a621090bfbcdc38c16870bb830421/maven-repository-indexer/src/main/java/org/apache/maven/repository/indexing/query/RequiredQuery.java,0,1,0,0,0
10,apache/archiva,03584684d14470fb60645ea2cb6710aec25caec0,https://github.com/apache/archiva/blob/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/RepositoryServletProxiedRelocatedTest.java,https://raw.githubusercontent.com/apache/archiva/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/RepositoryServletProxiedRelocatedTest.java,0,1,0,0,0
11,apache/archiva,03584684d14470fb60645ea2cb6710aec25caec0,https://github.com/apache/archiva/blob/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/UnauthenticatedDavResourceFactory.java,https://raw.githubusercontent.com/apache/archiva/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/UnauthenticatedDavResourceFactory.java,0,1,0,0,0
12,apache/archiva,03584684d14470fb60645ea2cb6710aec25caec0,https://github.com/apache/archiva/blob/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/UnauthenticatedDavSessionProvider.java,https://raw.githubusercontent.com/apache/archiva/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/UnauthenticatedDavSessionProvider.java,0,1,0,0,0
13,apache/archiva,03584684d14470fb60645ea2cb6710aec25caec0,https://github.com/apache/archiva/blob/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/UnauthenticatedRepositoryServlet.java,https://raw.githubusercontent.com/apache/archiva/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/archiva/webdav/UnauthenticatedRepositoryServlet.java,0,1,0,0,0
14,apache/archiva,03584684d14470fb60645ea2cb6710aec25caec0,https://github.com/apache/archiva/blob/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/maven/archiva/webdav/RepositoryServletProxiedRelocatedTest.java,https://raw.githubusercontent.com/apache/archiva/03584684d14470fb60645ea2cb6710aec25caec0/archiva-modules/archiva-web/archiva-webdav/src/test/java/org/apache/maven/archiva/webdav/RepositoryServletProxiedRelocatedTest.java,0,1,0,0,0
