file_name,id,project_name,github_repo_url,hash_commit,code_smell,severity
Apache_Cayenne:build-tools/cayenne-regression-profiler/src/main/java/org/apache/cayenne/profile/entity/Entity1.java,1,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:build-tools/cayenne-regression-profiler/src/main/java/org/apache/cayenne/profile/entity/Entity2.java,8,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:build-tools/cayenne-regression-profiler/src/main/java/org/apache/cayenne/profile/entity/Entity3.java,10,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:docs/quick-start/cayenne-tutorial/src/main/java/cayenne/tutorial/Gallery.java,39,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:docs/quick-start/cayenne-tutorial/src/main/java/cayenne/tutorial/Painting.java,506,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:docs/quick-start/cayenne-tutorial/src/main/java/cayenne/tutorial/auto/_Gallery.java,323,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Refused parent bequest,MAJOR
Apache_Cayenne:docs/quick-start/cayenne-tutorial/src/main/java/cayenne/tutorial/auto/_Gallery.java,324,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Speculative generality,MAJOR
Apache_Cayenne:docs/quick-start/cayenne-tutorial/src/main/java/cayenne/tutorial/auto/_Painting.java,561,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Refused parent bequest,MAJOR
Apache_Cayenne:docs/quick-start/cayenne-tutorial/src/main/java/cayenne/tutorial/auto/_Painting.java,562,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Speculative generality,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/main/java/org/apache/cayenne/dba/postgres/PostgresProcedureAction.java,79,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/main/java/org/apache/cayenne/ejbql/QLStatement.java,67,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/test/classes/org/apache/cayenne/testdo/relationship/IdMapToMany.java,2595,apache/cayenne,https://github.com/apache/cayenne,b10df4c8a9d14751d2f8ef7688f12d13c1f2baf1,Lazy class,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/test/classes/org/apache/cayenne/testdo/relationship/IdMapToManyTarget.java,2587,apache/cayenne,https://github.com/apache/cayenne,b10df4c8a9d14751d2f8ef7688f12d13c1f2baf1,Lazy class,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/test/java/org/apache/art/ArtDataObject.java,72,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Refused parent bequest,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/test/java/org/apache/art/Gallery.java,36,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/test/java/org/apache/art/Painting.java,18,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Lazy class,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/test/java/org/apache/art/auto/_Artist.java,16,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Refused parent bequest,MAJOR
Apache_Cayenne:framework/cayenne-jdk1.4-unpublished/src/test/java/org/apache/art/auto/_Gallery.java,82,apache/cayenne,https://github.com/apache/cayenne,fc186f50392bf8c804b1d314971c92efa5f52fc3,Refused parent bequest,MAJOR
